Product-ID,Base-Name,Price,Price Percentage Change 24h,Volume 24h,Base Currency ID,Quote Currency ID
FORTH-USD,Ampleforth Governance Token,2.5572,-0.37788772449258,46426.734,FORTH,USD
FORTH-USDC,Ampleforth Governance Token,2.5572,-0.37788772449258,46426.734,FORTH,USDC
XLM-EUR,Stellar Lumens,0.252365,-0.38407187236025,735835.0,XLM,EUR
MANA-USDC,Decentraland,0.3106,-0.38486209108403,1575085.07,MANA,USDC
MANA-USD,Decentraland,0.3106,-0.38486209108403,1575085.07,MANA,USD
AUDIO-USD,Audius,0.0756,-0.39525691699605,788031.3,AUDIO,USD
AUDIO-USDC,Audius,0.0756,-0.39525691699605,788031.3,AUDIO,USDC
HBAR-USDC,Hedera,0.18544,-0.40816326530612,72256317.5,HBAR,USDC
HBAR-USD,Hedera,0.18544,-0.40816326530612,72256317.5,HBAR,USD
HBAR-USDT,Hedera,0.18531,-0.41380051590714,10068924.1,HBAR,USDT
DOGINME-USD,doginme,0.0007643,-0.42991141219385,1467036251.0,DOGINME,USD
DOGINME-USDC,doginme,0.0007643,-0.42991141219385,1467036251.0,DOGINME,USDC
MATIC-USDT,Polygon,0.23,-0.43290043290043,17110.0,MATIC,USDT
EURC-USDC,EURC,1.1278,-0.45017212463589,3649272.0,EURC,USDC
NMR-USDC,Numeraire,8.64,-0.46082949308756,18612.915,NMR,USDC
NMR-USD,Numeraire,8.64,-0.46082949308756,18612.915,NMR,USD
ALGO-GBP,Algorand,0.1615,-0.49291435613062,129754.0,ALGO,GBP
RLC-USD,iExec RLC,1.1648,-0.51247010591049,75027.28,RLC,USD
RLC-USDC,iExec RLC,1.1648,-0.51247010591049,75027.28,RLC,USDC
ZETA-USD,Zetachain,0.2523,-0.51261829652997,220629.4,ZETA,USD
ZETA-USDC,Zetachain,0.2523,-0.51261829652997,220629.4,ZETA,USDC
BAT-EUR,Basic Attention Token,0.12619,-0.57516545855657,29645.94,BAT,EUR
ROSE-USDT,Oasis Network,0.0338,-0.58823529411765,882957.1,ROSE,USDT
BTC-EUR,Bitcoin,95643.45,-0.59653439055007,208.06191625,BTC,EUR
XRP-USD,XRP,2.281,-0.61435231580323,66548616.177226,XRP,USD
XRP-USDC,XRP,2.281,-0.61435231580323,66548616.177226,XRP,USDC
SOL-EUR,Solana,153.14,-0.61652281134402,25318.935,SOL,EUR
BLAST-USDC,Blast,0.00316,-0.62893081761006,18245934.0,BLAST,USDC
BLAST-USD,Blast,0.00316,-0.62893081761006,18245934.0,BLAST,USD
GRT-USDC,The Graph,0.1104,-0.63006300630063,22308101.19,GRT,USDC
GRT-USD,The Graph,0.1104,-0.63006300630063,22308101.19,GRT,USD
YFI-USDC,yearn.finance,5627.19,-0.63708776025159,62.454061,YFI,USDC
YFI-USD,yearn.finance,5627.19,-0.63708776025159,62.454061,YFI,USD
STORJ-USD,Storj,0.2927,-0.6449422946368,115410.29,STORJ,USD
