Product-ID,Base-Name,Price,Price Percentage Change 24h,Base Currency ID,Quote Currency ID
CTX-USD,Cryptex Finance,1.8495,-0.87893241867195,CTX,USD
CTX-USDC,Cryptex Finance,1.8495,-0.87893241867195,CTX,USDC
BNT-USD,Bancor Network Token,0.6958,-0.88319088319088,BNT,USD
BNT-USDC,Bancor Network Token,0.6958,-0.88319088319088,BNT,USDC
GMT-USDT,STEPN,0.0561,-0.88339222614841,GMT,USDT
DASH-USDC,Dash,23.43,-0.88832487309645,DASH,USDC
DASH-USD,Dash,23.43,-0.88832487309645,DASH,USD
AAVE-BTC,Aave,0.002448,-0.89068825910931,AAVE,BTC
DOT-GBP,Polkadot,3.29,-0.90361445783133,DOT,GBP
CRV-USD,Curve DAO Token,0.7555,-0.93102543928665,CRV,USD
CRV-USDC,Curve DAO Token,0.7555,-0.93102543928665,CRV,USDC
VTHO-USD,VeThor Token,0.002443,-0.93268450932685,VTHO,USD
VTHO-USDC,VeThor Token,0.002443,-0.93268450932685,VTHO,USDC
ME-USDC,Magic Eden,0.954,-0.93457943925234,ME,USDC
ME-USD,Magic Eden,0.954,-0.93457943925234,ME,USD
SPA-USDC,Sperax,0.017423,-0.94377167547899,SPA,USDC
SPA-USD,Sperax,0.017423,-0.94377167547899,SPA,USD
HIGH-USDC,Highstreet,0.627,-0.9478672985782,HIGH,USDC
HIGH-USD,Highstreet,0.627,-0.9478672985782,HIGH,USD
CTSI-USD,Cartesi,0.0729,-0.95108695652174,CTSI,USD
CTSI-USDC,Cartesi,0.0729,-0.95108695652174,CTSI,USDC
PYTH-USD,Pyth Network,0.1339,-0.96153846153846,PYTH,USD
PYTH-USDC,Pyth Network,0.1339,-0.96153846153846,PYTH,USDC
SHIB-USD,SHIBA INU,0.00001437,-0.96485182632667,SHIB,USD
SHIB-USDC,SHIBA INU,0.00001437,-0.96485182632667,SHIB,USDC
FIL-GBP,Filecoin,2.05,-0.96618357487923,FIL,GBP
ANKR-GBP,Ankr,0.01324,-0.97232610321616,ANKR,GBP
AAVE-GBP,Aave,196.94,-0.98541980894922,AAVE,GBP
CRV-EUR,Curve DAO Token,0.6636,-1.01431980906921,CRV,EUR
FOX-USDC,Shapeshift FOX Token,0.0292,-1.01694915254237,FOX,USDC
FOX-USD,Shapeshift FOX Token,0.0292,-1.01694915254237,FOX,USD
TAO-USD,Bittensor,430.78,-1.02244790110976,TAO,USD
TAO-USDC,Bittensor,430.78,-1.02244790110976,TAO,USDC
ZEC-USDC,Zcash,54.05,-1.02545321369713,ZEC,USDC
ZEC-USD,Zcash,54.05,-1.02545321369713,ZEC,USD
CRV-GBP,Curve DAO Token,0.555,-1.03423680456491,CRV,GBP
ENS-USDC,Ethereum Name Service,21.94,-1.03743797925124,ENS,USDC
ENS-USD,Ethereum Name Service,21.94,-1.03743797925124,ENS,USD
ALEO-USD,Aleo,0.19,-1.04166666666667,ALEO,USD
ALEO-USDC,Aleo,0.19,-1.04166666666667,ALEO,USDC
GST-USD,Green Satoshi Token,0.00883,-1.04225036422728,GST,USD
GST-USDC,Green Satoshi Token,0.00883,-1.04225036422728,GST,USDC
XLM-USD,Stellar Lumens,0.284669,-1.04664905450501,XLM,USD
XLM-USDC,Stellar Lumens,0.284669,-1.04664905450501,XLM,USDC
CVC-USDC,Civic,0.1404,-1.05708245243129,CVC,USDC
