start,low,high,open,close,volume,signal,fibonacciretracement_signal
2025-05-27 06:30:00,3.4353,3.484,3.4666,3.4392,148286.6,0,0
2025-05-27 07:00:00,3.4392,3.4635,3.4398,3.459,87175.1,0,0
2025-05-27 07:30:00,3.4596,3.4914,3.4596,3.4898,316864.3,1,1
2025-05-27 08:00:00,3.4899,3.5132,3.4899,3.5088,422143.8,0,0
2025-05-27 08:30:00,3.4916,3.5125,3.5091,3.5122,74612.0,0,0
2025-05-27 09:00:00,3.4858,3.5129,3.512,3.4904,124536.3,0,0
2025-05-27 09:30:00,3.4886,3.5628,3.4907,3.5611,950083.4,0,0
2025-05-27 10:00:00,3.5285,3.5612,3.5612,3.5408,379610.2,0,0
2025-05-27 10:30:00,3.5382,3.5696,3.541,3.5671,175340.7,0,0
2025-05-27 11:00:00,3.5402,3.5698,3.5664,3.5488,271861.3,0,0
2025-05-27 11:30:00,3.5427,3.5634,3.549,3.5605,215699.2,0,0
2025-05-27 12:00:00,3.5498,3.625,3.5603,3.6206,1054455.0,1,1
2025-05-27 12:30:00,3.6185,3.6526,3.619,3.647,1214616.7,0,0
2025-05-27 13:00:00,3.6251,3.6611,3.6473,3.6335,1080011.9,0,0
2025-05-27 13:30:00,3.6044,3.6457,3.6352,3.6202,877613.9,0,0
2025-05-27 14:00:00,3.6172,3.6482,3.6206,3.6274,709051.0,0,0
2025-05-27 14:30:00,3.58,3.6598,3.6275,3.6524,946385.9,0,0
2025-05-27 15:00:00,3.6285,3.6891,3.6513,3.6675,581427.3,0,0
2025-05-27 15:30:00,3.6578,3.6901,3.6675,3.6872,481832.5,0,0
2025-05-27 16:00:00,3.6648,3.72,3.688,3.6753,1168852.8,0,0
2025-05-27 16:30:00,3.6674,3.6948,3.6776,3.6717,385920.8,0,0
2025-05-27 17:00:00,3.6381,3.6907,3.6715,3.6493,839467.1,0,0
2025-05-27 17:30:00,3.6451,3.6903,3.6488,3.6834,385266.7,0,0
2025-05-27 18:00:00,3.6776,3.699,3.685,3.68,621759.1,0,0
2025-05-27 18:30:00,3.6736,3.7364,3.6808,3.6962,680420.9,0,0
2025-05-27 19:00:00,3.6729,3.6966,3.6959,3.6936,342659.8,0,0
2025-05-27 19:30:00,3.6936,3.7124,3.6936,3.712,438066.1,0,0
2025-05-27 20:00:00,3.6994,3.7227,3.712,3.7147,486836.2,0,0
2025-05-27 20:30:00,3.7025,3.7283,3.716,3.7025,210628.7,0,0
2025-05-27 21:00:00,3.6777,3.7082,3.7027,3.6787,277007.6,0,0
2025-05-27 21:30:00,3.6656,3.6982,3.6777,3.6711,210224.9,0,0
2025-05-27 22:00:00,3.6365,3.684,3.6736,3.6501,1107860.2,0,0
2025-05-27 22:30:00,3.6457,3.6807,3.6494,3.6675,247022.1,0,0
2025-05-27 23:00:00,3.6596,3.6755,3.667,3.6678,211302.3,0,0
2025-05-27 23:30:00,3.6657,3.6848,3.6671,3.6748,161795.3,0,0
2025-05-28 00:00:00,3.6496,3.6798,3.6736,3.6756,307634.0,0,0
2025-05-28 00:30:00,3.654,3.6814,3.6771,3.6719,177632.8,0,0
2025-05-28 01:00:00,3.6536,3.6767,3.6724,3.6701,84992.5,0,0
2025-05-28 01:30:00,3.6552,3.6946,3.6692,3.6784,286172.5,0,0
2025-05-28 02:00:00,3.6345,3.682,3.6768,3.6413,565475.9,0,0
2025-05-28 02:30:00,3.6404,3.6862,3.6421,3.6809,365808.5,0,0
2025-05-28 03:00:00,3.6784,3.7034,3.6816,3.6952,228200.0,0,0
2025-05-28 03:30:00,3.6904,3.7272,3.6928,3.7237,184930.5,0,0
2025-05-28 04:00:00,3.6895,3.7244,3.7233,3.6926,511482.8,0,0
2025-05-28 04:30:00,3.6909,3.7122,3.692,3.7046,221423.7,0,0
2025-05-28 05:00:00,3.6936,3.7171,3.704,3.7129,200411.7,0,0
2025-05-28 05:30:00,3.7104,3.7384,3.7131,3.7225,285769.0,0,0
2025-05-28 06:00:00,3.6873,3.7234,3.7225,3.6943,152269.3,0,0
2025-05-28 06:30:00,3.668,3.6932,3.6928,3.692,350407.3,0,0
2025-05-28 07:00:00,3.692,3.7174,3.692,3.7129,111886.5,0,0
2025-05-28 07:30:00,3.7081,3.7279,3.714,3.7185,226464.2,0,0
2025-05-28 08:00:00,3.71,3.7339,3.7192,3.7281,94040.1,0,0
2025-05-28 08:30:00,3.7146,3.747,3.7292,3.7272,280851.8,0,0
2025-05-28 09:00:00,3.6977,3.7277,3.7273,3.7,192668.3,0,0
2025-05-28 09:30:00,3.6925,3.7145,3.6992,3.7095,217386.3,0,0
2025-05-28 10:00:00,3.6716,3.7095,3.7093,3.692,233920.6,0,0
2025-05-28 10:30:00,3.6906,3.7126,3.6918,3.7077,146287.5,0,0
2025-05-28 11:00:00,3.6852,3.7154,3.7084,3.6852,103924.0,0,0
2025-05-28 11:30:00,3.6849,3.7011,3.6849,3.6876,101068.2,0,0
2025-05-28 12:00:00,3.6758,3.7023,3.688,3.7015,182261.1,0,0
2025-05-28 12:30:00,3.692,3.7136,3.7016,3.7076,126882.8,0,0
2025-05-28 13:00:00,3.6764,3.7119,3.708,3.696,534477.9,0,0
2025-05-28 13:30:00,3.6556,3.7104,3.6961,3.6593,350623.8,0,0
2025-05-28 14:00:00,3.6114,3.6663,3.6583,3.6477,616576.0,0,0
2025-05-28 14:30:00,3.5681,3.6483,3.6473,3.5786,853845.9,-1,-1
2025-05-28 15:00:00,3.5378,3.5961,3.5814,3.5648,1839689.4,0,0
2025-05-28 15:30:00,3.5456,3.5698,3.5647,3.5466,275876.9,0,0
2025-05-28 16:00:00,3.5471,3.5822,3.5471,3.5757,427613.9,0,0
2025-05-28 16:30:00,3.5583,3.5755,3.5755,3.573,276941.5,0,0
2025-05-28 17:00:00,3.5728,3.6061,3.573,3.5888,422802.1,1,1
2025-05-28 17:30:00,3.5555,3.5898,3.5884,3.5681,447215.7,-1,-1
2025-05-28 18:00:00,3.5578,3.5853,3.5681,3.5588,382077.1,0,0
2025-05-28 18:30:00,3.5361,3.568,3.5588,3.5407,275511.5,0,0
2025-05-28 19:00:00,3.5393,3.5624,3.5406,3.5414,211636.0,0,0
2025-05-28 19:30:00,3.5146,3.55,3.5408,3.5222,465039.1,0,0
2025-05-28 20:00:00,3.5176,3.5529,3.5222,3.5504,208546.0,0,0
2025-05-28 20:30:00,3.5381,3.5656,3.5517,3.5646,167711.5,0,0
2025-05-28 21:00:00,3.5532,3.5741,3.565,3.569,259523.9,0,0
2025-05-28 21:30:00,3.5673,3.586,3.569,3.5736,86123.7,0,0
2025-05-28 22:00:00,3.5572,3.5793,3.5728,3.5576,129458.1,0,0
2025-05-28 22:30:00,3.5561,3.5747,3.5586,3.5724,83112.8,0,0
2025-05-28 23:00:00,3.5693,3.5943,3.5712,3.5942,209513.9,1,1
2025-05-28 23:30:00,3.592,3.613,3.5943,3.6066,250854.0,0,0
2025-05-29 00:00:00,3.5668,3.6082,3.6067,3.5893,528821.3,0,0
2025-05-29 00:30:00,3.5819,3.6483,3.5892,3.645,400177.2,0,0
2025-05-29 01:00:00,3.61,3.6477,3.6464,3.6154,423154.0,0,0
2025-05-29 01:30:00,3.6057,3.6366,3.6163,3.63,230833.4,0,0
2025-05-29 02:00:00,3.6104,3.648,3.6297,3.6384,294375.9,0,0
2025-05-29 02:30:00,3.6392,3.6812,3.6392,3.6723,465607.0,0,0
2025-05-29 03:00:00,3.6505,3.6771,3.6728,3.6557,209227.7,0,0
2025-05-29 03:30:00,3.6297,3.6611,3.6554,3.6452,195454.5,0,0
2025-05-29 04:00:00,3.6111,3.6508,3.6464,3.6305,104200.7,0,0
2025-05-29 04:30:00,3.563,3.6334,3.6305,3.603,455571.4,0,0
2025-05-29 05:00:00,3.6,3.6344,3.604,3.6195,231853.2,0,0
2025-05-29 05:30:00,3.6094,3.6344,3.6194,3.6163,118327.1,0,0
2025-05-29 06:00:00,3.6106,3.6424,3.6168,3.6418,242273.9,0,0
2025-05-29 06:30:00,3.6384,3.6577,3.6414,3.6563,144074.7,0,0
2025-05-29 07:00:00,3.6439,3.665,3.6576,3.6527,114863.9,0,0
2025-05-29 07:30:00,3.6316,3.6537,3.6528,3.6384,173378.8,0,0
2025-05-29 08:00:00,3.6215,3.6481,3.6389,3.6417,197979.2,0,0
2025-05-29 08:30:00,3.6409,3.6608,3.6424,3.6548,114187.1,0,0
2025-05-29 09:00:00,3.644,3.668,3.6553,3.6597,91290.3,0,0
2025-05-29 09:30:00,3.6392,3.6673,3.659,3.6492,134366.4,0,0
2025-05-29 10:00:00,3.6444,3.6657,3.6495,3.6552,136480.2,0,0
2025-05-29 10:30:00,3.6544,3.68,3.6544,3.6706,245503.3,0,0
2025-05-29 11:00:00,3.6604,3.7288,3.6697,3.7224,1416231.8,0,0
2025-05-29 11:30:00,3.6982,3.725,3.7217,3.7117,622317.1,0,0
2025-05-29 12:00:00,3.6729,3.7146,3.7123,3.6824,492973.2,0,0
2025-05-29 12:30:00,3.6579,3.7046,3.6817,3.676,227499.7,0,0
2025-05-29 13:00:00,3.6525,3.6904,3.6765,3.6641,170957.9,0,0
2025-05-29 13:30:00,3.6199,3.6668,3.6641,3.6336,526661.2,0,0
2025-05-29 14:00:00,3.532,3.6405,3.633,3.5501,1342602.9,-1,-1
2025-05-29 14:30:00,3.5383,3.6076,3.5505,3.595,892325.7,0,0
2025-05-29 15:00:00,3.5691,3.6074,3.5953,3.5827,709530.4,0,0
2025-05-29 15:30:00,3.551,3.584,3.5833,3.5633,143249.9,0,0
2025-05-29 16:00:00,3.555,3.5846,3.564,3.5703,267155.2,0,0
2025-05-29 16:30:00,3.5388,3.5744,3.5701,3.5511,234168.7,0,0
2025-05-29 17:00:00,3.5432,3.5663,3.5509,3.5596,135030.4,0,0
2025-05-29 17:30:00,3.5528,3.5987,3.5603,3.5849,391285.2,1,1
2025-05-29 18:00:00,3.5728,3.5961,3.586,3.5728,170279.1,0,0
2025-05-29 18:30:00,3.544,3.5851,3.5742,3.5448,270152.5,0,0
2025-05-29 19:00:00,3.5106,3.5501,3.5451,3.5209,946406.6,0,0
2025-05-29 19:30:00,3.5178,3.5366,3.5208,3.5285,155425.9,0,0
2025-05-29 20:00:00,3.5285,3.5588,3.5285,3.5486,293996.9,0,0
2025-05-29 20:30:00,3.5472,3.578,3.5483,3.5758,237660.1,0,0
2025-05-29 21:00:00,3.5725,3.5931,3.5756,3.5793,195916.2,0,0
2025-05-29 21:30:00,3.5748,3.5969,3.5784,3.5933,193130.0,0,0
2025-05-29 22:00:00,3.5688,3.5935,3.5932,3.5688,144199.1,0,0
2025-05-29 22:30:00,3.5497,3.5812,3.5686,3.5514,183623.9,0,0
2025-05-29 23:00:00,3.5298,3.5545,3.5503,3.5336,405658.5,0,0
2025-05-29 23:30:00,3.5132,3.5416,3.5332,3.5249,247455.0,0,0
2025-05-30 00:00:00,3.5232,3.5514,3.5259,3.5292,171379.0,0,0
2025-05-30 00:30:00,3.3197,3.5308,3.5281,3.3855,1981108.3,-1,-1
2025-05-30 01:00:00,3.374,3.4443,3.386,3.4406,1236027.8,0,0
2025-05-30 01:30:00,3.4156,3.4523,3.4411,3.4245,373078.3,0,0
2025-05-30 02:00:00,3.4227,3.4867,3.4243,3.4769,501365.0,0,0
2025-05-30 02:30:00,3.4769,3.5192,3.4774,3.5164,350251.6,0,0
2025-05-30 03:00:00,3.5056,3.54,3.5182,3.5135,278035.7,0,0
2025-05-30 03:30:00,3.5043,3.5322,3.514,3.5093,279717.1,0,0
2025-05-30 04:00:00,3.4831,3.5124,3.5084,3.4861,525808.7,0,0
2025-05-30 04:30:00,3.4756,3.5154,3.4857,3.5042,436001.3,0,0
2025-05-30 05:00:00,3.4944,3.519,3.5049,3.5102,120338.3,0,0
2025-05-30 05:30:00,3.4655,3.5195,3.5112,3.4786,229161.8,-1,-1
2025-05-30 06:00:00,3.4473,3.4828,3.4804,3.4501,118213.0,0,0
2025-05-30 06:30:00,3.4058,3.4594,3.4501,3.43,384680.0,0,0
2025-05-30 07:00:00,3.4203,3.4594,3.4307,3.4508,265548.6,0,0
2025-05-30 07:30:00,3.427,3.4552,3.4505,3.4428,150596.3,0,0
2025-05-30 08:00:00,3.4174,3.4564,3.444,3.4537,210690.3,0,0
