start,low,high,open,close,volume,fibonacciretracement_signal,EMA_Short,EMA_Long,MACD,Signal_Line,macdcrossover_signal,FlowMinMax,ew_0,ew_1,ew_2,ew_3,ew_4,ew_5,ew_a,ew_b,ew_c,signal
2025-05-29 22:00:00,105906.34,106474.92,106456.36,105926.07,230.74947859,0,106715.08136814773,107308.14553600272,-593.0641678549873,-411.41952732151526,-1,0,,,,,,,,,,-1
2025-05-29 23:00:00,105315.0,106094.0,105926.07,105572.58,347.0660803,0,106539.31192689424,107179.58512592844,-640.2731990341999,-457.19026166405223,-1,0,,,,,,,,,,-1
2025-05-30 00:00:00,104624.0,106217.93,105572.58,104913.56,404.41266645,-1,106289.19624583359,107011.7314128967,-722.5351670631062,-510.25924274386307,-1,-1,,,,,,,,,,-1
2025-05-30 01:00:00,104913.56,105946.47,104913.56,105679.95,331.57689943,0,106195.46605416689,106913.08093786731,-717.6148837004293,-551.7303709351763,-1,0,,,,,,,,,,-1
2025-05-30 02:00:00,105653.12,106189.47,105674.91,106025.37,187.48776331,0,106169.2974304489,106847.32457209936,-678.0271416504547,-576.989725078232,-1,0,,,,,,,,,,-1
2025-05-30 03:00:00,105937.37,106221.01,106025.37,106051.67,167.16780321,0,106151.20090268753,106788.3871963883,-637.1862937007681,-589.0290388027393,-1,0,,,,,,,,,,-1
2025-05-30 04:00:00,105921.38,106176.96,106051.68,106138.79,244.26350156,0,106149.29153304329,106740.26888554472,-590.9773525014316,-589.4187015424777,-1,1,,,,,,,,,,-1
2025-05-30 05:00:00,106061.34,106377.66,106138.78,106121.13,119.28981475,0,106144.95898949816,106694.40674587474,-549.4477563765831,-581.4245125092989,1,0,,,,,,,,,,1
2025-05-30 06:00:00,105549.44,106183.66,106121.13,105742.72,130.18655262,-1,106083.07606803691,106623.9114313655,-540.8353633285878,-573.3066826731567,1,0,,,,,,,,,,0
2025-05-30 07:00:00,104768.15,105895.17,105742.72,105096.62,425.02389472,-1,105931.31359603124,106510.77873274584,-579.4651367145998,-574.5383734814453,-1,-1,,,,,,,,,,-1
2025-05-30 08:00:00,104881.94,105408.67,105087.27,105208.5,207.79200629,0,105820.11150433413,106414.31364143133,-594.202137097207,-578.4711262045977,-1,0,,,,,,,,,,-1
2025-05-30 09:00:00,104639.0,105696.27,105207.43,105665.73,162.8663482,0,105796.36050366734,106358.86300132531,-562.5024976579734,-575.2774004952729,1,0,,,,,,,,,,1
2025-05-30 10:00:00,105320.0,105973.38,105660.93,105959.86,152.21676972,0,105821.51427233391,106329.30722344936,-507.7929511154507,-561.7805106193085,1,1,,,,,,,,,,1
2025-05-30 11:00:00,105710.0,106019.0,105959.85,105901.75,133.73035508,0,105833.85823043638,106297.63631800866,-463.77808757228195,-542.1800260099033,1,0,,,,,,,,,,1
2025-05-30 12:00:00,105178.36,106031.78,105901.75,105704.71,295.58408871,0,105813.9892719077,106253.71585000803,-439.7265781003225,-521.6893364279871,1,0,,,,,,,,,,1
2025-05-30 13:00:00,105386.4,106017.76,105704.62,105508.26,389.12723097,0,105766.95399930651,106198.49689815559,-431.54289884907485,-503.6600489122047,1,0,,,,,,,,,,1
2025-05-30 14:00:00,105052.01,105877.65,105508.26,105347.72,430.76920751,0,105702.45646095167,106135.4763871811,-433.0199262294336,-489.5320243756505,1,-1,,,,,,,,,,1
2025-05-30 15:00:00,105314.99,105862.49,105361.65,105558.64,368.82511422,0,105680.33085157449,106092.74776590843,-412.4169143339386,-474.10900236730816,1,1,,,,,,,,,,1
2025-05-30 16:00:00,103664.03,105579.93,105558.64,103901.99,1406.11445827,-1,105406.73995133226,105930.46941287817,-523.7294615459105,-484.03309420302867,-1,-1,,,,,,,,,,-1
2025-05-30 17:00:00,103833.5,104313.63,103900.8,104187.47,658.43319541,0,105219.15995881961,105801.35834525757,-582.1983864379581,-503.66615265001457,-1,0,,,,,,,,,,-1
2025-05-30 18:00:00,104076.0,104934.47,104187.46,104919.06,367.33911855,0,105172.99073438582,105736.00291227552,-563.012177889701,-515.5353576979519,-1,1,,,,,,,,,,-1
2025-05-30 19:00:00,104479.03,105008.96,104915.88,104651.99,489.81671523,0,105092.83677524954,105655.70565951437,-562.8688842648262,-525.0020630113268,-1,0,,,,,,,,,,-1
2025-05-30 20:00:00,104394.58,104866.87,104647.14,104604.76,268.77100993,0,105017.74804059576,105577.85783288367,-560.1097922879126,-532.0236088666439,-1,-1,,,,,,,,,,-1
2025-05-30 21:00:00,104568.17,104918.57,104604.7,104657.58,135.54246316,0,104962.3375728118,105509.68910452192,-547.3515317101264,-535.0891934353405,-1,1,,,,,,,,,,-1
2025-05-30 22:00:00,104011.73,104846.81,104657.57,104017.77,152.06683261,-1,104817.01948468691,105399.17657826105,-582.1570935741329,-544.502773463099,-1,-1,,,,,,,,,,-1
2025-05-30 23:00:00,103634.48,104305.72,104017.76,104033.26,237.75860163,0,104696.44110242739,105297.99757246394,-601.5564700365503,-555.9135127777893,-1,1,,,,,,,,,,-1
2025-05-31 00:00:00,103603.0,104334.23,104033.0,104000.0,148.90539891,0,104589.29631743855,105201.84960413327,-612.5532866947178,-567.241467561175,-1,0,,,,,,,,,,-1
2025-05-31 01:00:00,103312.76,104245.15,104000.0,103520.09,217.93676608,0,104424.80303783262,105077.27481864192,-652.4717808092973,-584.2875302107996,-1,0,,,,,,,,,,-1
2025-05-31 02:00:00,103146.14,103899.99,103512.64,103229.54,158.74954219,0,104240.9164166276,104940.4055728166,-699.4891561889963,-607.327855406439,-1,-1,,,,,,,,,,-1
2025-05-31 03:00:00,103110.01,103733.57,103223.89,103719.33,131.9021929,0,104160.67235253105,104849.95553038573,-689.2831778546824,-623.7189198960878,-1,0,,,,,,,,,,-1
2025-05-31 04:00:00,103532.21,103866.69,103719.34,103854.66,76.53312924,0,104113.59352906473,104776.22993554235,-662.6364064776135,-631.502417212393,-1,1,,,,,,,,,,-1
2025-05-31 05:00:00,103550.4,103963.11,103854.66,103575.42,64.55092801,0,104030.79760151631,104687.2810514281,-656.483449911786,-636.4986237522716,-1,-1,,,,,,,,,,-1
2025-05-31 06:00:00,103552.4,103953.37,103575.43,103897.9,47.9733406,0,104010.35181666765,104628.80838095194,-618.4565642842936,-632.890211858676,1,1,,,,,,,,,,1
2025-05-31 07:00:00,103667.2,103897.92,103897.9,103808.19,55.14600814,0,103979.24999871878,104568.02183421477,-588.7718354959943,-624.0665365861397,1,0,,,,,,,,,,1
2025-05-31 08:00:00,103568.17,103869.25,103808.2,103702.34,61.30499451,0,103936.64846045435,104503.89725390257,-567.2487934482197,-612.7029879585557,1,0,,,,,,,,,,1
2025-05-31 09:00:00,103527.61,103784.77,103700.22,103580.7,54.05668488,0,103881.88715884599,104435.51227213201,-553.6251132860198,-600.8874130240486,1,0,,,,,,,,,,1
2025-05-31 10:00:00,103313.31,103653.14,103580.69,103456.27,77.86721821,0,103816.4075959466,104362.97580752964,-546.5682115830423,-590.0235727358473,1,-1,,,,,,,,,,1
2025-05-31 11:00:00,103344.54,103577.38,103456.26,103546.34,53.00332049,0,103774.85873503174,104302.48426623114,-527.6255311994028,-577.5439644285584,1,0,,,,,,,,,,1
2025-05-31 12:00:00,103526.86,104088.21,103546.34,104088.21,106.57609168,0,103823.06662194994,104286.61209836217,-463.545476412226,-554.744266825292,1,0,,,,,,,,,,1
2025-05-31 13:00:00,104029.17,104264.08,104088.21,104177.49,101.30832912,0,103877.5932954961,104278.52897996496,-400.9356844688591,-523.9825503540054,1,0,,,,,,,,,,1
2025-05-31 14:00:00,104167.13,104644.9,104171.68,104630.07,156.86331053,1,103993.35894234286,104304.56905552311,-311.2101131802483,-481.428062919254,1,1,,,,,,,,,,1
2025-05-31 15:00:00,104472.4,104921.43,104624.23,104609.23,227.07967469,0,104088.10833582858,104327.13653289177,-239.02819706319133,-432.94808974804147,1,0,,,,,,,,,,1
2025-05-31 16:00:00,104450.01,104850.0,104607.5,104553.51,122.79884148,0,104159.70859185496,104343.90493786275,-184.19634600779682,-383.19774099999256,1,0,,,,,,,,,,1
2025-05-31 17:00:00,104313.57,104691.77,104553.51,104402.75,76.11533091,0,104197.09957772342,104348.2638313544,-151.16425363098097,-336.79104352619026,1,-1,,,,,,,,,,1
2025-05-31 18:00:00,104402.74,104686.93,104402.74,104564.36,40.71665668,0,104253.60118115059,104364.27095495778,-110.66977380719618,-291.5667895823915,1,0,,,,,,,,,,1
2025-05-31 19:00:00,104554.95,104820.86,104554.95,104767.76,64.76446651,0,104332.70253789665,104394.15903236832,-61.45649447166943,-245.5447305602471,1,0,,,,,,,,,,1
2025-05-31 20:00:00,104584.71,104878.68,104767.77,104843.99,61.78385335,0,104411.36214745101,104427.47984478548,-16.117697334469995,-199.6593239150917,1,0,,,,,,,,,,1
2025-05-31 21:00:00,104700.0,104954.54,104843.99,104926.82,107.53276348,0,104490.66335553548,104464.46800443101,26.19535110447032,-154.4883889111793,1,1,,,,,,,,,,1
2025-05-31 22:00:00,104657.29,104965.5,104928.19,104682.5,103.40760041,0,104520.1766854531,104480.6185226213,39.5581628318032,-115.6790785625828,1,0,,,,,,,,,,1
2025-05-31 23:00:00,104522.68,104905.38,104682.5,104645.87,86.73180108,0,104539.51411846031,104492.8593727975,46.65474566281773,-83.2123137175027,1,0,,,,,,,,,,1
2025-06-01 00:00:00,104382.1,104708.44,104645.87,104510.41,68.04414365,0,104535.0365617741,104494.15941925695,40.87714251715806,-58.39442247057055,1,0,,,,,,,,,,1
