start,low,high,open,close,volume,gartleypattern_signal,peak,trough,gartley_x,gartley_a,gartley_b,gartley_c,gartley_d,fibonacciretracement_signal,signal
2025-06-03 21:00:00,3.2634,3.2882,3.2791,3.276,107980.7,0,,,,,,,,0,0
2025-06-03 21:30:00,3.2182,3.2793,3.2748,3.2333,616421.6,0,,3.2333,,,,,,-1,-1
2025-06-03 22:00:00,3.2278,3.2595,3.2346,3.255,333021.1,0,,,,,,,,0,0
2025-06-03 22:30:00,3.2502,3.2733,3.2544,3.2567,300922.1,0,3.2567,,,3.2567,,,,0,0
2025-06-03 23:00:00,3.2376,3.2627,3.2565,3.2465,254241.6,0,,,,,,,,0,0
2025-06-03 23:30:00,3.237,3.2532,3.2478,3.2532,148436.1,0,,,,,,,,0,0
2025-06-04 00:00:00,3.2454,3.264,3.253,3.2454,208613.7,0,,3.2454,,,,,,0,0
2025-06-04 00:30:00,3.2311,3.2626,3.2451,3.2626,195015.8,0,,,,,,,,0,0
2025-06-04 01:00:00,3.2603,3.2863,3.2628,3.2808,241455.4,0,,,,,,,,0,0
2025-06-04 01:30:00,3.2684,3.2879,3.2816,3.2754,289100.3,0,,,,,,,,0,0
2025-06-04 02:00:00,3.2724,3.2927,3.2756,3.2795,142477.6,0,,,,,,,,0,0
2025-06-04 02:30:00,3.263,3.2839,3.2788,3.2638,73926.5,0,,3.2638,,,,,,0,0
2025-06-04 03:00:00,3.2613,3.2918,3.2652,3.2841,71393.1,0,3.2841,,,,,,,0,0
2025-06-04 03:30:00,3.2754,3.294,3.2843,3.2759,118161.5,0,,,3.2759,,3.2759,,,0,0
2025-06-04 04:00:00,3.2731,3.2872,3.2759,3.2771,115600.2,0,,,,,,,,0,0
2025-06-04 04:30:00,3.263,3.277,3.2764,3.2646,64498.6,0,,,,,,,,0,0
2025-06-04 05:00:00,3.2486,3.2725,3.2649,3.2495,77158.3,0,,3.2495,,,,,,0,0
2025-06-04 05:30:00,3.2474,3.2605,3.2501,3.2531,74527.3,0,3.2531,,,,,,,0,0
2025-06-04 06:00:00,3.2428,3.261,3.2532,3.2496,137637.2,0,,,,,,,,0,0
2025-06-04 06:30:00,3.2478,3.2634,3.2487,3.2514,32593.5,0,,,,,,,,0,0
2025-06-04 07:00:00,3.2424,3.2579,3.2532,3.243,29192.9,0,,,,,,,,0,0
2025-06-04 07:30:00,3.2375,3.2503,3.2431,3.2476,48864.3,0,,,,,,,,0,0
2025-06-04 08:00:00,3.2478,3.2674,3.2478,3.2585,84193.1,0,3.2585,,,3.2585,,3.2585,,0,0
2025-06-04 08:30:00,3.2505,3.2615,3.2584,3.2534,33424.3,1,,,3.2534,,3.2534,,3.2534,0,1
2025-06-04 09:00:00,3.2374,3.2562,3.252,3.2402,72059.0,0,,3.2402,,,,,,-1,-1
2025-06-04 09:30:00,3.2344,3.256,3.2394,3.2528,160752.7,0,,,,,,,,1,1
2025-06-04 10:00:00,3.2356,3.2589,3.2514,3.2371,125806.2,0,,,,,,,,0,0
2025-06-04 10:30:00,3.2214,3.2376,3.237,3.2234,201470.2,0,,,,,,,,0,0
2025-06-04 11:00:00,3.1986,3.2304,3.2221,3.206,711324.6,0,,,,,,,,0,0
2025-06-04 11:30:00,3.1951,3.2082,3.2065,3.1965,266489.3,0,,,,,,,,0,0
2025-06-04 12:00:00,3.1738,3.2054,3.196,3.1825,645452.7,0,,3.1825,,,,,,0,0
2025-06-04 12:30:00,3.1759,3.1919,3.1826,3.1897,300196.6,0,,,,,,,,0,0
2025-06-04 13:00:00,3.175,3.1964,3.1889,3.1837,250250.3,0,,,,,,,,0,0
2025-06-04 13:30:00,3.1833,3.23,3.1842,3.1974,791309.1,0,3.1974,,3.1974,3.1974,,3.1974,,0,0
2025-06-04 14:00:00,3.1688,3.2015,3.1973,3.1928,735959.0,0,,,,,,,,0,0
2025-06-04 14:30:00,3.1884,3.2174,3.1922,3.2163,129926.7,0,,,,,,,,0,0
2025-06-04 15:00:00,3.206,3.23,3.2162,3.2256,196381.4,0,,,,,,,,0,0
2025-06-04 15:30:00,3.2156,3.2342,3.2257,3.2166,277075.1,0,,,,,,,,0,0
2025-06-04 16:00:00,3.2079,3.2214,3.2185,3.2151,189658.3,0,,3.2151,,,,,,0,0
2025-06-04 16:30:00,3.2136,3.2487,3.215,3.2438,154103.5,1,3.2438,,3.2438,3.2438,3.2438,,3.2438,0,1
2025-06-04 17:00:00,3.2213,3.2475,3.2441,3.224,252129.5,0,,,,3.224,3.224,3.224,,-1,-1
2025-06-04 17:30:00,3.21,3.2266,3.2235,3.2264,274647.8,0,,,,,,,,0,0
