start,low,high,open,close,volume,MA,STD,UpperBand,LowerBand,bollingerbands_signal,EMA_Short,EMA_Long,MACD,Signal_Line,macdcrossover_signal,fibonacciretracement_signal,signal
2025-05-30 15:30:00,105483.07,105862.49,105761.61,105558.64,211.19309118,105583.24350000001,262.36978681678863,106107.98307363359,105058.50392636644,0,105587.7120596173,105722.19173805055,-134.47967843324295,-159.53051821139823,1,0,1
2025-05-30 16:00:00,104650.0,105579.93,105558.64,104710.21,341.37728821,105519.585,310.2588373308817,106140.10267466177,104899.06732533824,1,105452.7117427531,105647.23012782459,-194.51838507148204,-166.528091583415,-1,-1,-1
2025-05-30 16:30:00,103664.03,104730.2,104707.87,103901.99,1064.73717006,105427.5485,471.63547397110864,106370.81944794222,104484.27755205779,1,105214.13916694494,105517.95308131906,-303.8139143741282,-193.98525614155767,-1,-1,-1
2025-05-30 17:00:00,103833.5,104251.0,103900.8,103999.89,481.08155289,105344.39499999999,565.2600944370148,106474.91518887402,104213.87481112596,1,105027.33160279956,105405.50396418432,-378.1723613847571,-230.82267719019757,-1,0,0
2025-05-30 17:30:00,103912.37,104313.63,103999.88,104187.47,177.35164252,105298.9375,620.1279932303801,106539.19348646076,104058.68151353924,0,104898.12212544578,105315.2792260966,-417.1571006508166,-268.0895618823214,-1,0,-1
2025-05-30 18:00:00,104076.0,104820.0,104187.46,104743.14,168.03539151,105272.697,632.488618196564,106537.67423639313,104007.71976360687,0,104874.27872153104,105272.89854268203,-398.6198211509909,-294.1956137360553,-1,0,-1
2025-05-30 18:30:00,104587.89,104934.47,104743.13,104919.06,199.30372704,105258.225,637.3276562951934,106532.8803125904,103983.56968740962,0,104881.1681489878,105246.68828026114,-365.52013127334067,-308.4605172435124,-1,0,-1
2025-05-30 19:00:00,104688.51,105008.96,104915.88,104826.41,155.44510266,105234.87,644.4848751071512,106523.83975021429,103945.9002497857,0,104872.74381837429,105215.55655579735,-342.8127374230535,-315.33096127942065,-1,0,-1
2025-05-30 19:30:00,104479.03,104826.4,104826.4,104651.99,334.37161257,105184.183,648.6658228936508,106481.5146457873,103886.8513542127,0,104838.78169247055,105173.81088499754,-335.02919252698484,-319.2706075289335,-1,0,-1
2025-05-30 20:00:00,104412.01,104672.53,104647.14,104469.99,154.26961832,105121.89499999999,654.719381949065,106431.33376389812,103812.45623610186,0,104782.04450901355,105121.67600462736,-339.6314956138085,-323.3427851459085,-1,0,-1
2025-05-30 20:30:00,104394.58,104866.87,104469.99,104604.76,114.50139161,105054.14000000001,633.2007405735711,106320.54148114716,103787.73851885287,0,104754.76996916531,105083.38593021051,-328.6159610452014,-324.3974203257671,-1,0,-1
2025-05-30 21:00:00,104604.7,104918.57,104604.7,104840.6,70.5043338,105006.2,609.6652390924492,106225.5304781849,103786.8695218151,0,104767.97458929372,105065.40178723195,-297.427197938232,-319.0033758482601,1,0,1
2025-05-30 21:30:00,104568.17,104910.59,104840.6,104657.58,65.03812936,104943.9915,576.0240548636806,106096.03960972736,103791.94339027265,0,104750.99080632546,105035.19276595551,-284.20195963005244,-312.04309260461855,1,0,1
2025-05-30 22:00:00,104500.0,104846.81,104657.57,104501.66,75.8466365,104889.2105,562.5656759923698,106014.34185198475,103764.07914801525,0,104712.63222073692,104995.67182032917,-283.0395995922445,-306.2423940021437,1,0,1
2025-05-30 22:30:00,104011.73,104539.4,104501.66,104017.77,76.22019611,104804.8635,560.3196192517565,105925.50273850352,103684.22426149649,0,104605.73034062354,104923.23464845293,-317.504307829382,-308.4947767675914,-1,-1,-1
2025-05-30 23:00:00,103723.52,104305.72,104017.76,103886.4,155.86594579,104716.1335,558.1147153752828,105832.36293075056,103599.90406924943,0,104495.06413437377,104846.43208190086,-351.367947527091,-317.06941091949136,-1,0,-1
2025-05-30 23:30:00,103634.48,104196.84,103886.4,104033.26,81.89265584,104642.3835,545.2386850511692,105732.86087010233,103551.90612989766,0,104424.0173444701,104786.19711287116,-362.17976840105257,-326.0914824158036,-1,0,-1
2025-05-31 00:00:00,103603.0,104239.38,104033.0,103840.66,89.08676366,104573.041,555.0077834056038,105683.05656681121,103463.02543318878,0,104334.27006070547,104716.15732673256,-381.8872660270863,-337.2506391380602,-1,0,-1
2025-05-31 00:30:00,103840.66,104334.23,103840.66,104000.0,59.81863525,104505.655,537.5416815121473,105580.7383630243,103430.5716369757,0,104282.84389752001,104663.10863586348,-380.2647383434669,-345.8534589791415,-1,0,-1
2025-05-31 01:00:00,103774.1,104245.15,104000.0,103899.73,72.12751605,104412.5605,464.8958815912868,105342.35226318258,103482.76873681744,0,104223.90329790155,104606.56207024396,-382.65877234241634,-353.21452165179653,-1,0,-1
2025-05-31 01:30:00,103312.76,104024.62,103895.42,103520.09,145.80925003,104310.633,421.8790361438307,105154.39107228766,103466.87492771234,0,104115.62432899361,104526.0826576333,-410.45832863969554,-364.66328304937633,-1,0,-1
2025-05-31 02:00:00,103312.77,103899.99,103512.64,103719.45,74.36227808,104261.095,430.5695000623766,105122.23400012475,103399.95599987525,0,104054.67443222537,104466.3320904012,-411.6576581758418,-374.06215807466947,-1,0,-1
2025-05-31 02:30:00,103146.14,103723.46,103719.84,103229.54,84.38726411,104227.4725,483.1340480964052,105193.74059619282,103261.20440380719,1,103927.73067342147,104374.7178614826,-446.98718806113175,-388.6471640719619,-1,0,0
2025-05-31 03:00:00,103110.01,103525.99,103223.89,103515.33,71.25989233,104203.2445,506.7213958115229,105216.68729162305,103189.80170837695,0,103864.28441597201,104311.05950137277,-446.7750854007609,-400.27274833772174,-1,0,-1
2025-05-31 03:30:00,103303.21,103733.57,103511.9,103719.33,60.64230057,104179.8375,518.171458210219,105216.18041642044,103143.49458357955,0,103841.9837365917,104267.22768645627,-425.243949864569,-405.2669886430912,-1,0,-1
2025-05-31 04:00:00,103532.21,103852.32,103719.34,103818.33,47.73205521,104133.597,506.3879224060397,105146.37284481207,103120.82115518792,0,103838.34470019299,104233.97600597802,-395.6313057850348,-403.33985207148,1,0,1
2025-05-31 04:30:00,103760.73,103866.69,103818.32,103854.66,28.80107403,104080.37700000001,474.4166605763234,105029.21032115266,103131.54367884736,0,103840.85474631714,104205.87852405373,-365.0237777365837,-395.67663720450076,1,0,1
2025-05-31 05:00:00,103654.06,103963.11,103854.66,103711.96,40.63581874,104024.6545,446.8261228693364,104918.30674573868,103131.00225426133,0,103821.02478534527,104169.29196671641,-348.26718137113494,-386.1947460378276,1,0,1
2025-05-31 05:30:00,103550.4,103784.81,103711.95,103575.42,23.91510927,103970.826,431.8704578967742,104834.56691579355,103107.08508420645,0,103783.2394337537,104125.30145066335,-342.062016909651,-377.3682002121923,1,0,1
2025-05-31 06:00:00,103552.4,103751.66,103575.43,103734.65,24.27922467,103934.05900000001,418.2235560568192,104770.50611211365,103097.61188788636,0,103775.76413625313,104096.36430616977,-320.60016991663724,-366.0145941530813,1,0,1
2025-05-31 06:30:00,103695.18,103953.37,103742.17,103897.9,23.69411593,103898.716,387.28426951594054,104673.28453903188,103124.14746096812,0,103794.55426913725,104081.66324645349,-287.10897731623845,-350.23347078571277,1,0,1
2025-05-31 07:00:00,103667.2,103897.92,103897.9,103731.55,20.77160627,103843.2635,318.6395761135313,104480.54265222706,103205.98434777294,0,103784.8613046546,104055.72893190138,-270.86762724678556,-334.3603020779274,1,0,1
2025-05-31 07:30:00,103708.9,103887.71,103731.55,103808.19,34.37440187,103800.794,254.5520347462228,104309.89806949244,103291.68993050755,0,103788.45033470773,104037.3927147235,-248.9423800157674,-317.27671766549537,1,0,1
2025-05-31 08:00:00,103568.17,103869.25,103808.2,103747.06,32.85428854,103763.064,193.89920934061414,104150.86241868122,103375.26558131877,0,103782.08259090653,104015.88658770693,-233.80399680040136,-300.5821734924766,1,0,1
2025-05-31 08:30:00,103574.25,103817.93,103747.06,103702.34,28.45070597,103747.2925,184.70155411684652,104116.69560823368,103377.88939176631,0,103769.81449999784,103992.66091454346,-222.8464145456237,-285.03502170310605,1,0,1
2025-05-31 09:00:00,103527.61,103784.77,103700.22,103543.4,32.56336058,103730.1425,187.01497586675157,104104.17245173351,103356.1125482665,0,103734.98149999818,103959.38232828099,-224.40082828281447,-272.9081830190477,1,0,1
2025-05-31 09:30:00,103529.44,103629.97,103543.39,103580.7,21.4933243,103707.5145,175.4287585333356,104058.37201706668,103356.65698293333,0,103711.24588461385,103931.33178544536,-220.08590083151648,-262.3437265815415,1,0,1
2025-05-31 10:00:00,103385.35,103653.14,103580.69,103445.16,47.24517533,103687.7395,181.8054026309744,104051.35030526195,103324.12869473804,0,103670.30959467325,103895.31906059755,-225.0094659243041,-254.87687445009402,1,0,1
2025-05-31 10:30:00,103313.31,103488.03,103445.15,103456.27,30.62204288,103660.55299999999,173.09873635335046,104006.75047270668,103314.35552729329,0,103637.38042626198,103862.7969079607,-225.4164816987177,-248.98479589981878,1,0,1
2025-05-31 11:00:00,103344.54,103577.38,103456.26,103528.09,25.85740722,103641.97099999999,165.8685707635015,103973.708141527,103310.23385847299,0,103620.56651452938,103838.00380366732,-217.4372891379462,-242.67529454744428,1,0,1
2025-05-31 11:30:00,103475.0,103567.77,103528.09,103546.34,27.14591327,103643.28349999999,164.9547193770409,103973.19293875407,103313.37406124591,0,103609.14705075562,103816.39907746974,-207.25202671412262,-235.59064098077997,1,0,1
2025-05-31 12:00:00,103526.86,103988.0,103546.34,103839.01,72.42404239,103649.2615,169.95106522488788,103989.16363044977,103309.35936955022,0,103644.5105814086,103818.07396062014,-173.56337921154045,-223.18518862693207,1,0,1
2025-05-31 12:30:00,103785.77,104088.21,103839.01,104088.21,34.15204929,103692.195,166.76928066476435,104025.73356132953,103358.65643867048,-1,103712.77203042267,103838.08403761125,-125.31200718857872,-203.6105523392614,1,0,0
2025-05-31 13:00:00,104029.17,104258.47,104088.21,104153.49,59.53546198,103724.103,190.50864133121334,104105.12028266244,103343.08571733757,-1,103780.57479497303,103861.44744223263,-80.87264725960267,-179.06297132332966,1,0,0
2025-05-31 13:30:00,104053.51,104264.08,104153.5,104177.49,41.77286714,103747.011,215.77507379767502,104178.56114759535,103315.46085240465,0,103841.63867266949,103884.85800206725,-43.21932939776161,-151.89424293821605,1,0,1
2025-05-31 14:00:00,104167.13,104543.76,104171.68,104351.89,101.08162648,103773.689,254.5560281802795,104282.80105636056,103264.57694363943,-1,103920.13887687419,103919.45296487708,0.685911997104995,-121.37821195115185,1,0,0
2025-05-31 14:30:00,104346.8,104644.9,104351.89,104630.07,55.78168405,103812.4595,318.5448608488048,104449.54922169761,103175.36977830238,-1,104029.35904966277,103972.09126377507,57.267785887699574,-85.64901238338157,1,0,0
2025-05-31 15:00:00,104512.39,104840.69,104624.23,104829.93,78.44585789,103868.358,390.04716057066616,104648.45232114132,103088.26367885867,-1,104152.52381125311,104035.63487386581,116.8889373872953,-45.1414224292462,1,0,0
2025-05-31 15:30:00,104472.4,104921.43,104829.93,104609.23,148.6338168,103920.0485,416.7694967277025,104753.58749345542,103086.5095065446,0,104222.78630182955,104078.1234017276,144.66290010194643,-7.180557923007672,1,0,1
2025-05-31 16:00:00,104450.01,104800.0,104607.5,104741.15,67.7428075,103970.3735,452.4449609824978,104875.26342196499,103065.48357803501,0,104302.53456308653,104127.23648308111,175.29808000542107,29.315169662678077,1,0,1
2025-05-31 16:30:00,104467.02,104850.0,104741.14,104553.51,55.05603398,104003.15400000001,470.3149536816936,104943.7839073634,103062.52409263662,0,104341.14616876552,104158.81229914918,182.33386961634096,59.91890965341066,1,0,1
2025-05-31 17:00:00,104456.9,104691.77,104553.51,104538.31,29.67238468,104043.492,480.28539126099014,105004.06278252199,103082.92121747801,0,104371.47906587852,104186.92323995294,184.55582592557766,84.84629290784406,1,0,1
2025-05-31 17:30:00,104313.57,104580.1,104538.22,104402.75,46.44294623,104073.22,483.3453208081632,105039.91064161633,103106.52935838368,0,104376.28997882029,104202.91040736383,173.37957145646214,102.55294861756768,1,0,1
2025-05-31 18:00:00,104402.74,104686.93,104402.74,104592.91,24.12537171,104115.5125,490.2606998843552,105096.0338997687,103134.99110023129,0,104409.61613592487,104231.79926607762,177.81686984724365,117.60573286350288,1,0,1
2025-05-31 18:30:00,104433.26,104611.24,104589.68,104564.36,16.59128497,104158.6135,489.9169726999903,105138.44744539999,103178.77955460003,0,104433.42288424412,104256.43339451631,176.98948972781363,129.48248423636502,1,0,1
2025-05-31 19:00:00,104554.95,104791.97,104554.95,104747.07,23.51715453,104218.79699999999,484.26322175880097,105187.3234435176,103250.27055648238,0,104481.67628666811,104292.77684677436,188.89943989375024,141.36587536784208,1,0,1
2025-05-31 19:30:00,104714.36,104820.86,104748.04,104767.76,41.24731198,104278.15,474.5881046702873,105227.32620934056,103328.97379065942,0,104525.68916564225,104327.96078405033,197.7283815919218,152.63837661265802,1,0,1
2025-05-31 20:00:00,104584.71,104783.09,104767.77,104736.15,26.97794086,104342.6995,442.00514486713405,105226.70978973428,103458.68921026573,0,104558.06775554344,104358.19702226883,199.87073327461258,162.08484794504895,1,0,1
2025-05-31 20:30:00,104726.72,104878.68,104736.16,104843.99,34.80591249,104412.0855,402.70460511864275,105217.49471023728,103606.67628976272,0,104602.05579315213,104394.18168728595,207.87410586618353,171.24269952927588,1,0,1
2025-05-31 21:00:00,104700.0,104954.54,104843.99,104855.1,55.53131424,104478.436,356.0022920444121,105190.44058408882,103766.43141591118,0,104640.98567112873,104428.32378452402,212.66188660470652,179.52653694436202,1,0,1
2025-05-31 21:30:00,104800.0,104950.58,104855.11,104926.82,52.00144924,104547.45999999999,294.2406832220662,105135.94136644412,103958.97863355586,0,104684.96018326277,104465.24943011484,219.71075314792688,187.563380185075,1,0,1
2025-05-31 22:00:00,104783.58,104965.5,104928.19,104806.82,51.82407612,104595.85050000002,247.46157712300345,105090.77365424602,104100.92734575401,0,104703.7078473762,104490.55095381003,213.1568935661635,192.6820828612927,1,0,1
2025-05-31 22:30:00,104657.29,104828.09,104806.83,104682.5,51.58352429,104625.56499999999,217.11719359017027,105059.79938718033,104191.33061281964,0,104700.44510162601,104504.76940167595,195.67569995006488,193.28080627904717,1,0,1
2025-05-31 23:00:00,104522.68,104905.38,104682.5,104702.33,69.22454233,104653.007,186.89068457214077,105026.78836914428,104279.22563085571,0,104700.73508599124,104519.40352007032,181.33156592091837,190.89095820742142,-1,0,-1
2025-05-31 23:30:00,104637.66,104760.07,104702.34,104645.87,17.50725875,104676.426,149.8420150265441,104976.1100300531,104376.74196994692,0,104692.29430353105,104528.77140747252,163.52289605852275,185.41734577764169,-1,0,-1
2025-06-01 00:00:00,104424.69,104708.44,104645.87,104427.14,34.74138069,104680.1885,142.0038409880994,104964.19618197621,104396.1808180238,0,104651.50133375704,104521.24315506715,130.25817868989543,174.38551236009243,-1,0,-1
2025-06-01 00:30:00,104382.1,104539.58,104427.14,104510.41,33.30276296,104674.2055,146.6707152437366,104967.54693048747,104380.86406951252,0,104629.7949747175,104520.44069913625,109.3542755812523,161.37926500432442,-1,0,-1
2025-06-01 01:00:00,104338.66,104569.28,104509.01,104437.8,29.03267124,104654.599,150.9065272169662,104956.41205443394,104352.78594556607,0,104600.25728629943,104514.3191658669,85.93812043253274,146.2910360899661,-1,0,-1
2025-06-01 01:30:00,104029.5,104467.25,104437.8,104188.13,64.29917778,104633.54400000001,183.43958427159026,105000.42316854319,104266.66483145683,1,104536.85308840721,104490.15700543231,46.69608297490049,126.37204546695298,-1,-1,-1
2025-06-01 02:00:00,103976.1,104271.16,104187.54,104225.36,31.75154912,104607.7545,202.75532323362538,105013.26514646725,104202.24385353274,0,104488.9310748061,104470.54241243732,18.388662368772202,104.77536884731683,-1,0,-1
2025-06-01 02:30:00,104220.84,104388.91,104225.36,104248.98,21.50835609,104592.52799999999,217.91167342910995,105028.35134685821,104156.70465314177,0,104452.01552483592,104454.13038188641,-2.1148570504883537,83.3973236677558,-1,0,-1
2025-06-01 03:00:00,104023.08,104288.1,104248.99,104201.25,44.36935328,104575.675,234.71178972661912,105045.09857945325,104106.25142054676,0,104413.4362133227,104435.39850174668,-21.96228842397977,62.325401249408685,-1,0,-1
2025-06-01 03:30:00,104201.24,104520.32,104201.25,104429.76,24.95475886,104577.0255,233.74012955144352,105044.50575910289,104109.54524089712,0,104415.9475651192,104434.98083495062,-19.033269831415964,46.053667033243755,-1,0,-1
2025-06-01 04:00:00,104412.34,104579.86,104429.76,104571.84,20.10417272,104575.972,233.7122488419853,105043.39649768396,104108.54750231603,0,104439.93101663933,104445.1185508802,-5.187534240874811,35.80542677842004,-1,0,-1
2025-06-01 04:30:00,104571.83,104800.0,104571.83,104687.77,29.39628042,104582.1425,235.01504350190064,105052.1725870038,104112.1124129962,0,104478.06009100251,104463.09273229649,14.967358706024243,31.637813163940883,-1,0,-1
2025-06-01 05:00:00,104620.24,104771.52,104687.78,104633.75,24.26336826,104576.4765,232.17841658741926,105040.83333317484,104112.11966682517,0,104502.01238469443,104475.73401138563,26.278373308799928,30.565925192912694,-1,0,-1
2025-06-01 05:30:00,104504.01,104698.47,104633.76,104592.74,11.32268609,104567.7255,227.8472537159091,105023.42000743182,104112.03099256818,0,104515.97047935682,104484.40112165337,31.569357703454443,30.766611695021044,1,0,1
2025-06-01 06:00:00,104250.51,104593.14,104592.73,104376.44,28.9896305,104549.74,228.04971937077494,105005.83943874156,104093.64056125845,0,104494.50425176347,104476.4040015309,18.100250232571852,28.233339402531207,-1,0,-1
2025-06-01 06:30:00,104279.43,104436.32,104376.44,104314.69,20.33767133,104523.275,222.7559829779054,104968.7869659558,104077.76303404418,0,104466.84052072294,104464.42518660269,2.4153341202472802,23.069738346074423,-1,0,-1
2025-06-01 07:00:00,104246.72,104438.65,104314.7,104406.45,15.22482724,104500.8425,209.79441565639175,104920.43133131278,104081.25366868722,0,104457.54967138094,104460.13072833582,-2.5810569548775675,17.939579285884026,-1,0,-1
2025-06-01 07:30:00,104278.01,104406.49,104406.46,104339.62,14.8169209,104471.4825,186.87962801471386,104845.24175602943,104097.72324397057,0,104439.40664501463,104451.20400771835,-11.797362703713588,11.992190887964503,-1,0,-1
2025-06-01 08:00:00,104272.38,104389.98,104335.98,104342.86,14.55823842,104448.28450000001,171.2009401860807,104790.68638037216,104105.88261962785,0,104424.55331501238,104443.17852566513,-18.625210652753594,5.868710579820884,-1,0,-1
2025-06-01 08:30:00,104316.59,104452.97,104338.6,104446.67,13.7232074,104436.49299999999,162.09977324188262,104760.69254648375,104112.29345351622,0,104427.95588193355,104443.43715339365,-15.481271460099379,1.5987141718368314,-1,0,-1
2025-06-01 09:00:00,104053.52,104520.49,104446.67,104088.12,33.07811721,104405.7825,167.18759296249132,104740.15768592499,104071.40731407501,0,104375.67343855916,104417.11736425338,-41.4439256942278,-7.009813801376095,-1,-1,-1
2025-06-01 09:30:00,103808.08,104097.63,104097.63,103989.75,114.6557336,104372.9765,181.3688440503661,104735.71418810074,104010.23881189927,1,104316.30060185774,104385.46052245684,-69.15992059909331,-19.43983516091954,-1,0,0
2025-06-01 10:00:00,103897.89,104101.89,103989.75,103984.05,24.04181883,104350.822,200.46159817519305,104751.74519635038,103949.89880364962,0,104265.18512464887,104355.72640968226,-90.54128503339598,-33.66012513541483,-1,0,-1
2025-06-01 10:30:00,103820.89,104008.23,103981.12,103983.23,15.64912962,104324.46299999999,212.66130789245224,104749.78561578489,103899.14038421509,0,104221.80741316442,104328.13408303913,-106.32666987470293,-48.19343408327246,-1,0,-1
2025-06-01 11:00:00,103905.29,104126.27,103983.23,104117.31,12.77133762,104308.4385,215.7243859834754,104739.88727196696,103876.98972803305,0,104205.7308880622,104312.51748429549,-106.78659623328713,-59.91206651327539,-1,0,-1
2025-06-01 11:30:00,104051.16,104216.06,104114.46,104148.26,28.47797071,104306.44499999999,217.07465842739072,104740.59431685477,103872.29568314522,0,104196.8892129757,104300.35026323656,-103.4610502608557,-68.62186326279145,-1,0,-1
2025-06-01 12:00:00,104056.01,104260.12,104148.26,104109.75,34.55943475,104300.6645,220.85391712634774,104742.3723342527,103858.9566657473,0,104183.48318021021,104286.23172521904,-102.74854500882793,-75.44719961199876,-1,0,-1
2025-06-01 12:30:00,103800.81,104120.97,104109.74,104018.0,41.05721221,104289.1155,229.5662896455592,104748.24807929112,103829.98292070888,0,104158.02422940865,104266.36270853615,-108.33847912750207,-82.02545551509942,-1,0,-1
2025-06-01 13:00:00,103999.19,104413.61,104018.01,104236.94,29.87526807,104290.9,228.9853124910614,104748.87062498211,103832.92937501788,0,104170.16511719194,104264.18324864458,-94.01813145264168,-84.42399070260788,-1,0,-1
2025-06-01 13:30:00,104224.31,104473.25,104236.94,104308.77,35.51098885,104284.8505,226.71063189738672,104738.27176379478,103831.42923620522,0,104191.48894531626,104267.4859709672,-75.99702565094049,-82.73859769227441,1,0,1
2025-06-01 14:00:00,104299.45,104775.71,104308.77,104724.43,42.62749126,104292.48000000001,239.10573305283603,104770.69146610568,103814.26853389434,0,104273.47987680607,104301.33367682148,-27.853800015407614,-71.76163815690106,1,1,1
2025-06-01 14:30:00,104617.12,104821.81,104725.03,104650.44,33.32177692,104290.6135,235.98293661004865,104762.5793732201,103818.64762677992,0,104331.47374191284,104327.19340446433,4.280337448508362,-56.55324303581918,1,0,1
2025-06-01 15:00:00,104538.15,104875.46,104649.38,104827.37,38.33289763,104300.29449999999,254.07846161652253,104808.45142323304,103792.13757676694,-1,104407.76547392625,104364.24352265215,43.52195127410232,-36.53820417383488,1,0,0
2025-06-01 15:30:00,104700.3,104860.0,104827.37,104767.63,38.40251044,104309.039,267.3367875896161,104843.71257517923,103774.36542482077,0,104463.12924716837,104394.12400245569,69.00524471268,-15.429514396531905,1,0,1
2025-06-01 16:00:00,104707.29,105365.0,104767.62,105209.7,129.72338174,104350.702,334.8087775303559,105020.31955506072,103681.08444493929,-1,104577.98628606554,104454.53703931082,123.4492467547243,12.346237833719336,1,0,0
2025-06-01 16:30:00,105011.52,105306.91,105209.67,105093.59,57.49721202,104389.64700000001,373.4683026510553,105136.58360530212,103642.7103946979,0,104657.30993436315,104501.87429565817,155.43563870497746,40.96411800797097,1,0,1
2025-06-01 17:00:00,105034.55,105265.44,105094.08,105164.63,32.93665354,104427.556,411.7783865187839,105251.11277303756,103603.99922696243,0,104735.35917523036,104550.9673107946,184.39186443576182,69.64966729352915,1,0,1
2025-06-01 17:30:00,105064.43,105261.01,105164.64,105106.98,35.87994692,104465.924,438.0644939105089,105342.05298782102,103589.79501217898,0,104792.5316098103,104592.15343592093,200.378173889374,95.79536861269813,1,0,1
2025-06-01 18:00:00,104741.67,105124.91,105113.72,104785.51,39.70234117,104488.05649999999,442.67744154783435,105373.41138309566,103602.70161690432,0,104791.45136214719,104606.47614437123,184.97521777595102,113.63133844534872,1,0,1
2025-06-01 18:30:00,104395.06,105008.93,104785.52,104959.48,84.73976811,104513.697,454.8384095372113,105423.37381907442,103604.02018092558,0,104817.30192181685,104632.62457812151,184.67734369533719,127.84053949534642,1,0,1
2025-06-01 19:00:00,104866.87,105121.64,104955.55,105072.65,61.86153138,104562.9235,459.6067715278946,105482.13704305579,103643.70995694422,0,104856.58624153733,104665.21905381621,191.36718772111635,140.5458691405004,1,0,1
2025-06-01 19:30:00,105030.86,105221.91,105077.83,105179.12,45.23478064,104622.39199999999,458.4854655284957,105539.36293105698,103705.421068943,0,104906.20681976236,104703.28579057056,202.92102919179888,153.0209011507601,1,0,1
