start,low,high,open,close,volume,gartleypattern_signal,peak,trough,fibonacciretracement_signal,signal
2025-06-01 16:30:00,3.2945,3.3246,3.3012,3.3048,401402.6,0,3.3048,,0,0
2025-06-01 17:00:00,3.2915,3.3077,3.305,3.3048,138410.6,0,,,0,0
2025-06-01 17:30:00,3.294,3.314,3.3042,3.2974,190582.2,0,,,0,0
2025-06-01 18:00:00,3.2628,3.2992,3.2973,3.2653,211854.8,0,,3.2653,-1,-1
2025-06-01 18:30:00,3.25,3.2821,3.2649,3.2787,190438.1,0,,,0,0
2025-06-01 19:00:00,3.2675,3.2884,3.2795,3.2832,336178.5,0,,,0,0
2025-06-01 19:30:00,3.2785,3.2915,3.284,3.2914,126116.1,0,3.2914,,0,0
2025-06-01 20:00:00,3.272,3.2918,3.2917,3.2825,86299.6,0,,,0,0
2025-06-01 20:30:00,3.2729,3.3022,3.2819,3.2762,610923.1,0,,3.2762,0,0
2025-06-01 21:00:00,3.2738,3.295,3.2767,3.2881,142520.9,0,,,0,0
2025-06-01 21:30:00,3.2882,3.315,3.2882,3.3065,315060.6,0,,,0,0
2025-06-01 22:00:00,3.306,3.3395,3.3062,3.3237,645502.9,0,,,0,0
2025-06-01 22:30:00,3.313,3.3304,3.3244,3.3262,168592.5,0,,,0,0
2025-06-01 23:00:00,3.3259,3.3634,3.3259,3.3461,303074.8,0,3.3461,,0,0
2025-06-01 23:30:00,3.3321,3.368,3.346,3.3454,416072.9,0,,,0,0
2025-06-02 00:00:00,3.3245,3.3515,3.3445,3.3245,190243.5,0,,3.3245,0,0
2025-06-02 00:30:00,3.321,3.34,3.3265,3.3287,153016.4,0,,,0,0
2025-06-02 01:00:00,3.3206,3.3488,3.328,3.3229,104031.8,0,,,0,0
2025-06-02 01:30:00,3.3062,3.3225,3.3225,3.3075,210613.6,0,,,0,0
2025-06-02 02:00:00,3.2889,3.3104,3.3072,3.2985,177590.0,0,,,0,0
2025-06-02 02:30:00,3.2808,3.309,3.298,3.2833,405595.8,0,,,0,0
2025-06-02 03:00:00,3.2559,3.286,3.2835,3.2706,605055.9,0,,3.2706,-1,-1
2025-06-02 03:30:00,3.2624,3.2861,3.2705,3.2716,324820.1,0,,,0,0
2025-06-02 04:00:00,3.2656,3.2884,3.2711,3.284,139636.3,0,3.284,,0,0
2025-06-02 04:30:00,3.2755,3.3022,3.2835,3.279,136618.9,0,,,0,0
2025-06-02 05:00:00,3.2721,3.2954,3.2785,3.2835,44701.4,0,,,0,0
2025-06-02 05:30:00,3.2559,3.2845,3.2826,3.2808,98319.1,0,,,0,0
2025-06-02 06:00:00,3.2623,3.2865,3.2809,3.2775,110500.9,0,,3.2775,0,0
2025-06-02 06:30:00,3.2755,3.3074,3.277,3.2902,155355.8,0,,,0,0
2025-06-02 07:00:00,3.288,3.3118,3.2903,3.2974,62335.6,0,,,0,0
2025-06-02 07:30:00,3.2896,3.3075,3.2965,3.2963,83650.1,0,,,0,0
2025-06-02 08:00:00,3.2945,3.333,3.2965,3.3305,107252.0,0,3.3305,,0,0
2025-06-02 08:30:00,3.2828,3.3354,3.3312,3.294,584361.4,0,,,0,0
2025-06-02 09:00:00,3.2644,3.2944,3.2944,3.2869,402200.1,0,,,0,0
2025-06-02 09:30:00,3.265,3.3034,3.287,3.2691,646889.8,0,,,-1,-1
2025-06-02 10:00:00,3.2617,3.2911,3.269,3.2646,246459.6,0,,,0,0
2025-06-02 10:30:00,3.248,3.2705,3.2645,3.266,187092.6,0,,,0,0
2025-06-02 11:00:00,3.2488,3.2739,3.2655,3.2488,93912.1,0,,3.2488,0,0
