start,low,high,open,close,volume,gartleypattern_signal,peak,trough,gartley_x,gartley_a,gartley_b,gartley_c,gartley_d,signal
2025-06-02 08:00:00,2491.2,2517.26,2508.24,2495.42,2245.48402797,0,,,,,,,,0
2025-06-02 09:00:00,2476.13,2496.23,2495.69,2482.73,3423.58985476,0,,,,,,,,0
2025-06-02 10:00:00,2477.13,2490.92,2482.62,2483.26,3611.56049375,0,,,,,,,,0
2025-06-02 11:00:00,2476.64,2489.99,2483.4,2482.19,2687.15620836,0,,2482.19,,,,,,0
2025-06-02 12:00:00,2478.54,2499.7,2481.81,2499.04,2886.45608836,0,,,,,,,,0
2025-06-02 13:00:00,2488.93,2521.3,2499.05,2506.13,10713.65393709,0,,,,,,,,0
2025-06-02 14:00:00,2497.21,2542.68,2506.23,2532.36,11791.73321086,0,,,,,,,,0
2025-06-02 15:00:00,2523.91,2557.76,2532.35,2545.68,7971.47762954,0,,,,,,,,0
2025-06-02 16:00:00,2531.2,2555.0,2545.69,2548.01,6385.01041749,0,,,,,,,,0
2025-06-02 17:00:00,2539.92,2554.64,2548.13,2551.05,5804.30251751,0,2551.05,,,,,,,0
2025-06-02 18:00:00,2538.4,2567.1,2551.13,2546.03,8444.09084355,0,,,,,,,,0
2025-06-02 19:00:00,2526.37,2550.63,2546.0,2534.1,9491.3810748,0,,2534.1,,,,,,0
2025-06-02 20:00:00,2533.3,2549.24,2533.92,2541.25,4292.57426878,0,,,,,,,,0
2025-06-02 21:00:00,2541.17,2562.93,2541.25,2562.03,5764.7177665,0,,,,,,,,0
2025-06-02 22:00:00,2561.47,2586.62,2562.04,2586.21,9800.38123707,0,,,,,,,,0
2025-06-02 23:00:00,2583.96,2616.87,2586.21,2609.29,12176.41199947,0,,,,,,,,0
2025-06-03 00:00:00,2603.37,2628.12,2609.29,2623.92,8094.89786934,0,,,,,,,,0
2025-06-03 01:00:00,2618.83,2652.45,2623.92,2647.95,9729.60784392,0,2647.95,,,,,,,0
2025-06-03 02:00:00,2615.48,2649.99,2648.0,2618.62,7916.84443185,0,,,,,,,,0
2025-06-03 03:00:00,2589.8,2622.2,2617.83,2605.08,7126.84991305,0,,,,,,,,0
2025-06-03 04:00:00,2591.39,2606.63,2605.01,2593.66,7373.2171838,0,,2593.66,,,,,,0
2025-06-03 05:00:00,2593.82,2619.64,2593.84,2616.41,7611.69422913,0,,,,,,,,0
2025-06-03 06:00:00,2606.29,2621.1,2616.4,2620.45,7634.2855195,0,2620.45,,,,,,,0
2025-06-03 07:00:00,2609.65,2622.95,2620.31,2611.89,6358.93176862,0,,,,,,,,0
2025-06-03 08:00:00,2596.59,2613.72,2611.92,2609.06,6631.67273821,0,,,,,,,,0
2025-06-03 09:00:00,2602.71,2620.71,2609.2,2615.57,2617.370855,0,,,,,,,,0
2025-06-03 10:00:00,2611.54,2622.41,2615.57,2613.04,1837.40707389,0,,,,,,,,0
2025-06-03 11:00:00,2602.36,2619.89,2613.2,2603.44,3083.23228605,0,,2603.44,,,,,,0
2025-06-03 12:00:00,2599.48,2615.47,2603.51,2611.67,5163.47228072,0,,,,,,,,0
2025-06-03 13:00:00,2608.81,2634.84,2611.67,2629.32,9140.44327662,0,,,,,,,,0
2025-06-03 14:00:00,2615.41,2657.74,2629.05,2650.57,9850.19610363,0,2650.57,,,,,,,0
2025-06-03 15:00:00,2618.55,2653.99,2650.32,2625.51,18719.29660327,0,,,,,,,,0
2025-06-03 16:00:00,2605.07,2627.9,2625.52,2607.08,6221.59212745,0,,2607.08,,,,,,0
2025-06-03 17:00:00,2604.65,2630.5,2607.06,2621.06,20873.05947362,0,,,,,,,,0
2025-06-03 18:00:00,2608.66,2622.22,2621.06,2619.82,3458.815184,0,,,,,,,,0
2025-06-03 19:00:00,2616.7,2630.82,2620.06,2626.74,7298.3612939,0,2626.74,,,,,,,0
2025-06-03 20:00:00,2595.56,2627.74,2626.97,2616.95,6251.47662922,0,,,,,,,,0
2025-06-03 21:00:00,2575.75,2618.74,2616.81,2591.35,5611.89411872,0,,2591.35,,,,,,0
2025-06-03 22:00:00,2588.22,2612.1,2591.65,2606.42,4816.09691415,0,,,2606.42,,,,,0
2025-06-03 23:00:00,2588.13,2607.46,2606.42,2595.03,2371.61115812,0,,,,,,,,0
2025-06-04 00:00:00,2584.05,2604.69,2595.03,2600.71,1641.29341744,0,,,,,,,,0
2025-06-04 01:00:00,2600.16,2624.05,2600.74,2614.03,3697.03841385,0,,,,,,,,0
2025-06-04 02:00:00,2612.22,2622.83,2614.11,2614.0,2146.88815856,0,,2614.0,,,,,,0
2025-06-04 03:00:00,2611.24,2642.56,2614.16,2629.61,4285.78596902,0,,,,,,,,0
2025-06-04 04:00:00,2624.77,2639.94,2629.61,2639.07,2631.09299627,0,2639.07,,,2639.07,,,,0
2025-06-04 05:00:00,2621.2,2646.8,2639.22,2626.49,3268.70805229,0,,,,,2626.49,,,0
2025-06-04 06:00:00,2623.25,2636.96,2626.52,2631.05,1382.96510938,0,,,,,,,,0
2025-06-04 07:00:00,2624.19,2636.1,2631.41,2629.05,3056.1664812,0,,2629.05,,,,,,0
2025-06-04 08:00:00,2629.1,2648.01,2629.1,2642.53,3047.64520557,0,,,,,,,,0
2025-06-04 09:00:00,2632.76,2649.99,2642.54,2644.95,3374.60096624,0,2644.95,,,,,,,0
2025-06-04 10:00:00,2636.51,2652.0,2644.84,2639.93,3372.18665627,0,,,,,,2639.93,,0
2025-06-04 11:00:00,2625.71,2647.25,2639.92,2626.38,3407.18144748,0,,,,,,,,0
2025-06-04 12:00:00,2616.52,2640.24,2626.37,2618.28,5773.50619906,0,,,,,,,,0
2025-06-04 13:00:00,2608.84,2631.17,2618.3,2616.33,4584.21940418,0,,2616.33,,,,,,0
2025-06-04 14:00:00,2594.99,2643.28,2616.47,2641.34,9886.36569726,0,,,,,,,,0
2025-06-04 15:00:00,2635.18,2681.0,2641.35,2669.22,13959.75190299,-1,2669.22,,,,,,2669.22,-1
2025-06-04 16:00:00,2650.4,2671.13,2669.39,2661.26,7131.52691462,0,,,,,,,,0
2025-06-04 17:00:00,2632.6,2661.48,2661.17,2636.63,4693.51773472,0,,,,,,,,0
2025-06-04 18:00:00,2626.89,2643.73,2636.58,2630.2,4399.18014608,0,,,,,,,,0
2025-06-04 19:00:00,2623.33,2634.48,2630.42,2624.93,4018.71257254,0,,,,,,,,0
2025-06-04 20:00:00,2600.45,2626.33,2624.98,2606.88,5669.88191174,0,,2606.88,,,,,,0
2025-06-04 21:00:00,2600.6,2625.03,2607.03,2621.2,3333.6423791,0,2621.2,,,,,,,0
2025-06-04 22:00:00,2605.66,2622.98,2620.59,2606.91,2736.43133784,0,,,,,,,,0
2025-06-04 23:00:00,2601.01,2617.46,2607.08,2609.07,4117.55584457,0,,,,,,,,0
2025-06-05 00:00:00,2603.0,2616.12,2609.19,2613.53,2656.02730608,0,,,,,,,,0
2025-06-05 01:00:00,2605.56,2618.21,2613.17,2609.84,2157.43077243,0,,2609.84,,,,,,0
2025-06-05 02:00:00,2609.73,2629.78,2609.91,2621.51,3980.64905701,0,,,,,,,,0
2025-06-05 03:00:00,2618.51,2634.31,2621.58,2626.25,2537.53853835,0,,,,,,,,0
2025-06-05 04:00:00,2622.57,2635.62,2626.17,2631.97,1907.88642786,0,2631.97,,,,,,,0
2025-06-05 05:00:00,2609.46,2632.89,2632.03,2614.3,2889.29198894,0,,,,,,,,0
2025-06-05 06:00:00,2599.3,2619.92,2614.3,2605.37,10899.54181696,0,,,,,,,,0
2025-06-05 07:00:00,2601.32,2615.53,2605.36,2605.26,2332.52281427,0,,2605.26,,,,,,0
2025-06-05 08:00:00,2598.33,2611.51,2605.22,2606.46,8475.18240437,0,,,,,,,,0
2025-06-05 09:00:00,2600.0,2611.49,2606.3,2610.61,7512.72252201,0,,,,,,,,0
2025-06-05 10:00:00,2581.52,2615.2,2610.46,2597.58,6748.43530007,0,,,,,,,,0
2025-06-05 11:00:00,2594.27,2610.71,2597.58,2609.25,1779.74083663,0,,,,,,,,0
2025-06-05 12:00:00,2606.62,2642.53,2609.25,2633.15,5647.23271081,0,2633.15,,,,,,,0
2025-06-05 13:00:00,2580.9,2637.07,2632.99,2590.74,11600.89616544,0,,,,,,,,0
2025-06-05 14:00:00,2563.05,2615.89,2590.69,2589.01,12650.43310767,0,,2589.01,,,,,,0
2025-06-05 15:00:00,2583.04,2603.43,2588.84,2590.59,4681.22204846,0,,,,,,,,0
2025-06-05 16:00:00,2553.59,2592.81,2590.32,2559.46,7435.20814708,0,,,,,,,,0
2025-06-05 17:00:00,2558.91,2577.86,2559.89,2570.41,6848.22048985,0,,,,,,,,0
2025-06-05 18:00:00,2554.05,2584.27,2570.24,2576.51,6056.2419595,0,2576.51,,,,,,,0
2025-06-05 19:00:00,2506.43,2578.81,2576.51,2529.28,16829.47949935,0,,,,,,,,0
2025-06-05 20:00:00,2394.12,2535.84,2529.27,2399.04,37529.20269095,0,,2399.04,,,,,,0
2025-06-05 21:00:00,2392.16,2450.0,2398.99,2438.58,26678.60602269,0,,,,,,,,0
2025-06-05 22:00:00,2410.59,2438.48,2438.48,2431.2,9631.96429963,0,,,,,,,,0
2025-06-05 23:00:00,2412.72,2437.2,2431.2,2415.34,6182.43222583,0,,,,,,,,0
2025-06-06 00:00:00,2384.0,2429.3,2415.31,2427.24,8834.79957559,0,2427.24,,,,,,,0
2025-06-06 01:00:00,2417.92,2430.25,2427.1,2422.78,4060.48223537,0,,2422.78,,,,,,0
2025-06-06 02:00:00,2403.57,2437.47,2423.05,2436.6,3993.67901292,0,,,,,,,,0
2025-06-06 03:00:00,2428.59,2458.18,2436.4,2456.95,10960.20670502,0,,,,,,,,0
2025-06-06 04:00:00,2448.39,2465.09,2456.89,2460.35,4746.10233947,0,,,,,,,,0
2025-06-06 05:00:00,2447.7,2467.04,2460.01,2461.25,2916.74892626,0,2461.25,,,,,,,0
2025-06-06 06:00:00,2451.01,2469.94,2461.24,2459.3,2998.8405433,0,,,,,,,,0
2025-06-06 07:00:00,2451.48,2468.47,2459.3,2456.6,2848.3670348,0,,2456.6,,,,,,0
2025-06-06 08:00:00,2454.69,2468.05,2456.59,2462.57,2671.81467789,0,,,,,,,,0
2025-06-06 09:00:00,2461.05,2484.11,2462.53,2469.94,3168.86450047,0,,,,,,,,0
2025-06-06 10:00:00,2469.53,2488.54,2470.06,2482.82,3734.15245572,0,,,,,,,,0
2025-06-06 11:00:00,2473.33,2495.16,2483.04,2477.66,5400.51691569,0,,,,,,,,0
2025-06-06 12:00:00,2468.35,2501.48,2477.89,2476.9,9539.8185462,0,,2476.9,,,,,,0
2025-06-06 13:00:00,2477.14,2521.93,2477.14,2504.92,12665.27309394,0,,,,,,,,0
2025-06-06 14:00:00,2496.45,2526.27,2504.86,2521.01,7365.03118736,0,2521.01,,,,,,,0
2025-06-06 15:00:00,2498.15,2533.09,2521.01,2511.39,7397.22544895,0,,,,,,,,0
2025-06-06 16:00:00,2494.17,2520.39,2511.33,2499.77,5590.29414479,0,,,,,,,,0
2025-06-06 17:00:00,2485.56,2504.28,2499.67,2501.44,5430.32073539,0,,,,,,,,0
2025-06-06 18:00:00,2490.09,2506.86,2501.44,2496.76,3679.88927527,0,,,,,,,,0
2025-06-06 19:00:00,2485.34,2504.09,2496.7,2485.8,7038.81691571,0,,2485.8,,,,,,0
2025-06-06 20:00:00,2483.67,2508.57,2485.9,2501.31,3124.3624038,0,2501.31,,,,,,,0
2025-06-06 21:00:00,2489.0,2501.64,2501.64,2493.92,2149.17289825,0,,,,,,,,0
2025-06-06 22:00:00,2479.42,2495.75,2493.93,2484.54,2861.73891671,0,,,,,,,,0
2025-06-06 23:00:00,2474.41,2485.31,2484.41,2483.0,1879.17464458,0,,,,,,,,0
