start,low,high,open,close,volume,fibonacciretracement_signal
2025-06-01 08:15:00,3.2435,3.2619,3.254,3.25,86062.3,0
2025-06-01 08:30:00,3.2445,3.2618,3.2496,3.2602,31244,0
2025-06-01 08:45:00,3.254,3.267,3.2605,3.267,31058.6,0
2025-06-01 09:00:00,3.24,3.2761,3.2675,3.2521,40081.6,0
2025-06-01 09:15:00,3.2162,3.2536,3.2515,3.2211,416775.2,0
2025-06-01 09:30:00,3.197,3.2215,3.2215,3.1989,205316.8,0
2025-06-01 09:45:00,3.1865,3.2115,3.1982,3.21,179082.6,0
2025-06-01 10:00:00,3.2016,3.2255,3.2103,3.225,187373.4,0
2025-06-01 10:15:00,3.2195,3.235,3.225,3.231,339914.8,0
2025-06-01 10:30:00,3.2135,3.2329,3.231,3.2229,92117.3,0
2025-06-01 10:45:00,3.2175,3.238,3.2222,3.2348,154129,0
2025-06-01 11:00:00,3.2262,3.2396,3.2346,3.2339,63799.3,0
2025-06-01 11:15:00,3.231,3.2616,3.234,3.2569,89420.3,0
2025-06-01 11:30:00,3.2475,3.2665,3.2565,3.2658,55093.2,0
2025-06-01 11:45:00,3.2515,3.2681,3.2651,3.258,66629,0
2025-06-01 12:00:00,3.2466,3.268,3.2585,3.2643,98596.8,0
2025-06-01 12:15:00,3.249,3.2663,3.2645,3.2545,39012.8,0
2025-06-01 12:30:00,3.2296,3.2595,3.2548,3.2361,441889.6,0
2025-06-01 12:45:00,3.2254,3.2493,3.236,3.2439,95076.9,0
2025-06-01 13:00:00,3.242,3.2675,3.2435,3.2636,49357.1,0
2025-06-01 13:15:00,3.2586,3.2807,3.2635,3.27,102877.4,0
2025-06-01 13:30:00,3.2695,3.2923,3.2695,3.2841,189288.8,0
2025-06-01 13:45:00,3.271,3.289,3.2848,3.2746,102560.2,0
2025-06-01 14:00:00,3.2754,3.307,3.2754,3.2889,165520.4,0
2025-06-01 14:15:00,3.2881,3.311,3.2883,3.3071,311631,0
2025-06-01 14:30:00,3.3,3.3187,3.3075,3.3045,341411.4,0
2025-06-01 14:45:00,3.29,3.3085,3.3045,3.2922,77701.8,0
2025-06-01 15:00:00,3.2767,3.2984,3.2927,3.2802,195764,0
2025-06-01 15:15:00,3.277,3.3017,3.2803,3.2985,52901.1,0
2025-06-01 15:30:00,3.288,3.3039,3.2995,3.292,47197.8,0
2025-06-01 15:45:00,3.2833,3.299,3.2921,3.2908,121559.4,0
2025-06-01 16:00:00,3.284,3.3433,3.2912,3.3175,521483.8,0
2025-06-01 16:15:00,3.301,3.3258,3.318,3.301,268042.2,0
2025-06-01 16:30:00,3.2945,3.3189,3.3012,3.316,178854.3,0
2025-06-01 16:45:00,3.302,3.3246,3.3175,3.3048,222548.3,0
2025-06-01 17:00:00,3.294,3.3077,3.305,3.2996,74765.1,0
2025-06-01 17:15:00,3.2915,3.3055,3.2999,3.3048,63645.5,0
2025-06-01 17:30:00,3.2965,3.314,3.3042,3.297,90390.9,0
2025-06-01 17:45:00,3.294,3.3044,3.2968,3.2974,100191.3,0
2025-06-01 18:00:00,3.2752,3.2992,3.2973,3.2849,86861.1,0
2025-06-01 18:15:00,3.2628,3.285,3.2845,3.2653,124993.7,0
2025-06-01 18:30:00,3.25,3.2669,3.2649,3.2545,97516.4,0
2025-06-01 18:45:00,3.253,3.2821,3.2548,3.2787,92921.7,0
2025-06-01 19:00:00,3.2675,3.2874,3.2795,3.2779,241821.9,0
2025-06-01 19:15:00,3.276,3.2884,3.2775,3.2832,94356.6,0
2025-06-01 19:30:00,3.2785,3.2888,3.284,3.2883,82677.6,0
2025-06-01 19:45:00,3.2821,3.2915,3.2882,3.2914,43438.5,0
2025-06-01 20:00:00,3.272,3.2918,3.2917,3.2739,43052.1,0
2025-06-01 20:15:00,3.2739,3.2832,3.2739,3.2825,43247.5,0
2025-06-01 20:30:00,3.2783,3.3022,3.2819,3.2947,372846.1,0
2025-06-01 20:45:00,3.2729,3.2955,3.2955,3.2762,238077,0
2025-06-01 21:00:00,3.2738,3.2875,3.2767,3.2801,89683.6,0
2025-06-01 21:15:00,3.28,3.295,3.28,3.2881,52837.3,0
2025-06-01 21:30:00,3.2882,3.315,3.2882,3.2965,209302.5,0
2025-06-01 21:45:00,3.2917,3.3109,3.297,3.3065,105758.1,0
2025-06-01 22:00:00,3.306,3.3376,3.3062,3.3356,483212.6,0
2025-06-01 22:15:00,3.3202,3.3395,3.3356,3.3237,162290.3,0
2025-06-01 22:30:00,3.3135,3.3279,3.3244,3.3177,52977.1,0
2025-06-01 22:45:00,3.313,3.3304,3.3182,3.3262,115615.4,0
2025-06-01 23:00:00,3.3259,3.3516,3.3259,3.345,122250.8,0
2025-06-01 23:15:00,3.3435,3.3634,3.346,3.3461,180824,0
2025-06-01 23:30:00,3.338,3.3554,3.346,3.3548,57787,0
2025-06-01 23:45:00,3.3321,3.368,3.3544,3.3454,358285.9,0
2025-06-02 00:00:00,3.3291,3.3484,3.3445,3.341,116084.8,0
2025-06-02 00:15:00,3.3245,3.3515,3.3408,3.3245,74158.7,0
2025-06-02 00:30:00,3.321,3.34,3.3265,3.3365,114261.6,0
2025-06-02 00:45:00,3.325,3.3378,3.337,3.3287,38754.8,0
2025-06-02 01:00:00,3.3275,3.3488,3.328,3.346,51765.4,0
2025-06-02 01:15:00,3.331,3.3463,3.3463,3.331,20717.2,0
